year   day  hour  min   field
2018   1  7 47    1.42
2018   1  7 48    3.32
2018   1  7 49    1.49
2018   1  7 50   -7.58
2018   1  7 51   -6.65
2018   1  7 52    0.36
2018   1  7 53   -2.34
2018   1  7 54   -1.65
2018   1  7 55   -2.35
2018   1  7 56   -2.59
2018   1  7 57   -2.41
2018   1  7 58   -2.53
2018   1  7 59   -1.81
2018   1  8  0   -1.35
2018   1  8  1   -0.37
2018   1  8  2   -2.05
2018   1  8  3   -3.33
2018   1  8  4   -3.97
2018   1  8  5   -4.30
2018   1  8  6   -3.07
2018   1  8  7   -2.48
2018   1  8  8   -1.55
2018   1  8  9   -3.92
2018   1  8 10   -6.46
2018   1  8 11   -6.70
2018   1  8 12   -1.30
2018   1  8 13   -0.26
2018   1  8 14   -0.30
2018   1  8 15    1.29
2018   1  8 16    0.24
2018   1  8 17    0.03
2018   1  8 18   -0.10
2018   1  8 19    0.81
2018   1  8 20    0.81
2018   1  8 21    2.01
2018   1  8 22    2.85
2018   1  8 23    2.55
2018   1  8 24    3.34
2018   1  8 25    4.25
2018   1  8 26    4.52
2018   1  8 27    4.15
2018   1  8 28    4.36
2018   1  8 29    3.82
2018   1  8 30    2.74
2018   1  8 31    2.52
2018   1  8 32    3.64
2018   1  8 33    2.03
2018   1  8 34   -1.72
2018   1  8 35   -2.71
2018   1  8 36   -1.85
2018   1  8 37   -2.69
2018   1  8 38   -1.81
2018   1  8 39   -1.61
2018   1  8 40    0.38
2018   1  8 41    0.72
2018   1  8 42    0.67
2018   1  8 43    0.38
2018   1  8 44    0.74
2018   1  8 45   -0.04
2018   1  8 46   -0.22
2018   1  8 47   -0.02
2018   1  8 48    0.91
2018   1  8 49    0.10
2018   1  8 50    1.32
2018   1  8 51    1.09
2018   1  8 52   -0.99
2018   1  8 53   -1.55
2018   1  8 54   -2.47
2018   1  8 55   -0.09
2018   1  8 56   -1.84
2018   1  8 57   -1.71
2018   1  8 58   -1.82
2018   1  8 59   -2.59
2018   1  9  0   -0.81
2018   1  9  1   -0.17
2018   1  9  2   -1.11
2018   1  9  3    1.76
2018   1  9  4    1.46
2018   1  9  5   -0.94
2018   1  9  6   -2.32
2018   1  9  7   -3.84
2018   1  9  8   -1.61
2018   1  9  9   -1.53
2018   1  9 10   -2.21
2018   1  9 11   -1.73
2018   1  9 12   -1.74
2018   1  9 13   -1.27
2018   1  9 14   -0.67
2018   1  9 15   -0.23
2018   1  9 16    0.00
2018   1  9 17    0.62
2018   1  9 18    0.65
2018   1  9 19    0.96
2018   1  9 20    0.92
2018   1  9 21    0.77
2018   1  9 22    1.18
2018   1  9 23    1.66
2018   1  9 24    1.49
2018   1  9 25    1.65
2018   1  9 26    1.51
2018   1  9 27    0.76
2018   1  9 28    0.58
